企業名,プリマハム,
証券ｺｰﾄﾞ,2281,
表名称,連結貸借対照表,



(百万円),,
2008/03/31現在,,

（資産の部）,,
流動資産,,
現金及び預金,,8188
受取手形及び売掛金,,25405
たな卸資産,,10903
繰延税金資産,,260
その他,,2857
貸倒引当金,,-34
流動資産合計,,47581
固定資産,,
有形固定資産,,
建物及び構築物,48953,
減価償却累計額,-30016,18936
機械装置及び運搬具,35482,
減価償却累計額,-29440,6041
土地,,19288
建設仮勘定,,1993
その他,3022,
減価償却累計額,-2585,436
有形固定資産合計,,46696
無形固定資産,,
ソフトウェア,,1162
その他,,131
無形固定資産合計,,1294
投資その他の資産,,
投資有価証券,,4922
長期貸付金,,55
長期前払費用,,166
繰延税金資産,,409
その他,,1564
貸倒引当金,,-148
投資その他の資産合計,,6969
固定資産合計,,54960
資産合計,,102541
（負債の部）,,
流動負債,,
支払手形及び買掛金,,27982
短期借入金,,8251
一年内返済予定長期借入金,,6084
一年内償還予定社債,,125
未払法人税等,,728
繰延税金負債,,41
賞与引当金,,1015
役員賞与引当金,,24
未払費用,,4393
その他,,2548
流動負債合計,,51193
固定負債,,
社債,,375
長期借入金,,14070
繰延税金負債,,725
再評価に係る繰延税金負債,,3206
退職給付引当金,,5664
役員退職慰労引当金,,114
その他,,1355
固定負債合計,,25512
負債合計,,76705
（純資産の部）,,
株主資本,,
資本金,,3363
資本剰余金,,3964
利益剰余金,,11949
自己株式,,-37
株主資本合計,,19240
評価・換算差額等,,
その他有価証券評価差額金,,1122
繰延ヘッジ損益,,-8
土地再評価差額金,,874
為替換算調整勘定,,262
評価・換算差額等合計,,2251
少数株主持分,,4344
純資産合計,,25835
負債・純資産合計,,102541
