企業名,丸大食品,
証券ｺｰﾄﾞ,2288,
表名称,連結貸借対照表,



(百万円),,
2008/03/31現在,,

（資産の部）,,
流動資産,,
現金及び預金,,2676
受取手形及び売掛金,,21164
有価証券,,2
たな卸資産,,17480
繰延税金資産,,578
その他,,1149
貸倒引当金,,-63
流動資産合計,,42987
固定資産,,
有形固定資産,,
建物及び構築物,51957,
減価償却累計額,35612,16345
機械装置及び運搬具,46467,
減価償却累計額,36536,9930
工具器具備品,6360,
減価償却累計額,4410,1950
土地,,24716
建設仮勘定,,833
有形固定資産合計,,53775
無形固定資産,,574
投資その他の資産,,
投資有価証券,,11722
長期貸付金,,101
繰延税金資産,,66
その他,,1370
貸倒引当金,,-386
投資その他の資産合計,,12875
固定資産合計,,67225
資産合計,,110212
（負債の部）,,
流動負債,,
支払手形及び買掛金,,19937
短期借入金,,1188
１年内返済長期借入金,,7265
未払法人税等,,307
未払消費税等,,168
賞与引当金,,1102
その他,,7365
流動負債合計,,37334
固定負債,,
長期借入金,,8144
繰延税金負債,,2082
退職給付引当金,,2575
負ののれん,,39
その他,,381
固定負債合計,,13223
負債合計,,50558
（純資産の部）,,
株主資本,,
資本金,,6716
資本剰余金,,21685
利益剰余金,,27935
自己株式,,-53
株主資本合計,,56284
評価・換算差額等,,
その他有価証券評価差額金,,2973
繰延ヘッジ損益,,-13
為替換算調整勘定,,-7
評価・換算差額等合計,,2952
少数株主持分,,417
純資産合計,,59654
負債純資産合計,,110212
