企業名,MARUDAI FOOD CO.,LTD.
証券ｺｰﾄﾞ,,
表名称,,
,,
,,
,,
(百万円),,
2010/03/31現在,,
連結貸借対照表,,
 資産の部,,
  流動資産,,
   現金及び預金,10652,
   受取手形及び売掛金,19852,
   商品及び製品,5918,
   仕掛品,631,
   原材料及び貯蔵品,8019,
   繰延税金資産,796,
   その他,596,
   貸倒引当金,-48,
   流動資産合計,46418,
  固定資産,,
   有形固定資産,,
    建物及び構築物,45848,
     減価償却累計額,-29352,
     建物及び構築物（純額）,16496,
    機械装置及び運搬具,42429,
     減価償却累計額,-32820,
     機械装置及び運搬具（純額）,9608,
    工具、器具及び備品,5624,
     減価償却累計額,-3648,
     工具、器具及び備品（純額）,1975,
    リース資産,7585,
     減価償却累計額,-2422,
     リース資産（純額）,5162,
    土地,19641,
    建設仮勘定,58,
    有形固定資産合計,52942,
   無形固定資産,1106,
   投資その他の資産,,
    投資有価証券,9281,
    長期貸付金,128,
    繰延税金資産,67,
    その他,5689,
    貸倒引当金,-339,
    投資その他の資産合計,14826,
   固定資産合計,68875,
  資産合計,115294,
 負債の部,,
  流動負債,,
   支払手形及び買掛金,18411,
   短期借入金,987,
   1年内返済予定の長期借入金,8244,
   未払法人税等,491,
   未払消費税等,487,
   リース債務,1348,
   賞与引当金,1065,
   その他,6419,
   流動負債合計,37454,
  固定負債,,
   長期借入金,9423,
   繰延税金負債,1271,
   退職給付引当金,516,
   リース債務,3920,
   その他,476,
   固定負債合計,15607,
  負債合計,53062,
 純資産の部,,
  株主資本,,
   資本金,6716,
   資本剰余金,21685,
   利益剰余金,31348,
   自己株式,-56,
   株主資本合計,59694,
  評価・換算差額等,,
   その他有価証券評価差額金,1685,
   繰延ヘッジ損益,3,
   為替換算調整勘定,-87,
   評価・換算差額等合計,1600,
  少数株主持分,936,
  純資産合計,62231,
 負債純資産合計,115294,
