企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結貸借対照表,
,,
,,
,,
（百万円）,,
2012/03/31現在,,
,,
（資産の部）,,
流動資産,,
現金及び現金同等物,,63651
定期預金,,7595
有価証券,,5199
受取手形及び売掛金,,119959
貸倒引当金,,-518
棚卸資産,,112516
繰延税金,,6087
その他の流動資産,,9979
流動資産合計,,324468
有形固定資産－減価償却累計額控除後,,213663
無形固定資産－償却累計額控除後,,8737
投資及びその他の資産,,
関連会社に対する投資及び貸付金,,2510
その他の投資有価証券,,17790
その他の資産,,8589
投資及びその他の資産合計,,28889
その他の包括利益（△損失）累計額,,13368
資産合計,,589125
（負債及び資本の部）,,
流動負債,,
短期借入金,,40460
一年以内に期限の到来する長期債務,,26636
支払手形及び買掛金,,96822
未払法人税等,,4371
繰延税金,,2038
未払費用,,19006
その他の流動負債,,14338
流動負債合計,,203671
退職金及び年金債務,,17170
長期債務（一年以内期限到来分を除く）,,72091
長期繰延税金,,2616
その他の固定負債,,1309
負債合計,,296857
契約残高及び偶発債務,,
当社株主資本,,
資本金,,24166
資本剰余金,,50786
利益剰余金,,
利益準備金,,7350
その他の利益剰余金,,239921
その他の包括損失累計額,,-15526
自己株式,,-16677
当社株主資本合計,,290020
非支配持分,,2248
資本合計,,292268
負債及び資本合計,,589125
