企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結損益（及び包括利益）計算書,,



（百万円）,,,
2014/04/01-2015/03/31,,,
連結損益（及び包括利益）計算書,,,
売上高,,1212802,
売上原価,,993023,
販売費及び一般管理費,,171335,
その他の営業費用及び(△収益)－純額,,4231,
支払利息,,1347,
その他の収益及び(△費用)－純額,,1678,
税金等調整前当期純利益,,44544,
法人税等,,,
当期税金,,12959,
繰延税金,,554,
法人税等合計,,13513,
持分法による投資利益前当期純利益,,31031,
持分法による投資利益(法人税等控除後),,133,
当期純利益,,31164,
非支配持分に帰属する当期純利益,,-116,
当社株主に帰属する当期純利益,,31048,
（円）,,,
１株当たり金額,,,
基本的当社株主に帰属する当期純利益,,152.43,
希薄化後当社株主に帰属する当期純利益,,143.11,
（百万円）,,,
当期純利益,,31164,
その他の包括利益(法人税等控除後),,,
売却可能有価証券未実現評価益,,2162,
年金債務調整勘定,,2318,
外貨換算調整勘定,,4778,
その他の包括利益合計,,9258,
当期包括利益,,40422,
非支配持分に帰属する当期包括利益,,-184,
当社株主に帰属する当期包括利益,,40238,
