企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結貸借対照表,



(百万円),,
2008/03/31現在,,

（資産の部）,,
流動資産,,
現金及び現金同等物,,44249
定期預金,,16289
有価証券,,388
受取手形及び売掛金,,110084
貸倒引当金,,-457
棚卸資産,,112218
繰延税金,,8566
その他の流動資産,,13389
流動資産合計,,304726
投資及び長期債権,,
関連会社に対する投資及び貸付金,,2220
その他の投資有価証券,,18672
保証金及びその他の投資,,10830
投資及び長期債権合計,,31722
有形固定資産―減価償却累計額控除後,,246874
長期繰延税金,,12954
その他の資産,,12533
資産合計,,608809
（負債及び資本の部）,,
流動負債,,
短期借入金,,56427
一年以内に期限の到来する長期債務,,18540
支払手形及び買掛金,,87296
未払法人税等,,1983
繰延税金,,579
未払費用,,15460
その他の流動負債,,11242
流動負債合計,,191527
退職金及び年金債務,,14299
長期債務（一年以内期限到来分を除く）,,110940
長期繰延税金,,2471
少数株主持分,,2115
契約残高及び偶発債務,,
資本,,
資本金,,24166
資本剰余金,,50944
利益剰余金,,
利益準備金,,6903
その他の利益剰余金,,208930
その他の包括利益（－損失）累計額,,-3173
自己株式,,-313
資本合計,,287457
負債及び資本合計,,608809
