企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結貸借対照表,,



（百万円）,,,
2016/03/31現在,,,
連結貸借対照表,,,
(資産の部),,,
流動資産,,,
現金及び現金同等物,,67321,
定期預金,,10354,
有価証券,,-,
受取手形及び売掛金,,128352,
貸倒引当金,,-382,
棚卸資産,,137395,
繰延税金,,6041,
その他の流動資産,,10934,
流動資産合計,,360015,
有形固定資産－減価償却累計額控除後,,268172,
無形固定資産－償却累計額控除後,,4832,
投資及びその他の資産,,,
関連会社に対する投資,,4737,
その他の投資有価証券,,24978,
その他の資産,,10800,
投資及びその他の資産合計,,40515,
長期繰延税金,,9321,
資産合計,,682855,
(負債及び資本の部),,,
流動負債,,,
短期借入金,,41374,
一年以内に期限の到来する長期債務,,11461,
支払手形及び買掛金,,94420,
未払法人税等,,7122,
繰延税金,,1584,
未払費用,,21858,
その他の流動負債,,23089,
流動負債合計,,200908,
退職金及び年金債務,,14426,
長期債務(一年以内期限到来分を除く),,101771,
長期繰延税金,,2632,
その他の固定負債,,1758,
負債合計,,321495,
契約残高及び偶発債務,,,
当社株主資本,,,
資本金,,24166,
資本剰余金,,50958,
利益剰余金,,,
利益準備金,,8150,
その他の利益剰余金,,275051,
その他の包括利益(△損失)累計額,,-1515,
自己株式,,-457,
当社株主資本合計,,356353,
非支配持分,,5007,
資本合計,,361360,
負債及び資本合計,,682855,
