企業名,日本ハム,
証券ｺｰﾄﾞ,2282,
表名称,連結キャッシュ・フロー計算書,
,,
,,
,,
（百万円）,,
2011/04/01-2012/03/31,,
,,
営業活動によるキャッシュ・フロー：,,
当期純利益,,11801
調整項目：,,
減価償却費,,24234
固定資産減損損失,,2213
繰延税金,,3679
為替換算差額,,118
受取手形及び売掛金の増,,-15532
棚卸資産の増,,-4567
その他の流動資産の（△増）減,,73
支払手形及び買掛金の増,,6496
未払法人税等の増（△減）,,-4492
未払費用及びその他の流動負債の増（△減）,,1513
その他－純額,,896
営業活動による純キャッシュ増,,26432
投資活動によるキャッシュ・フロー：,,
固定資産の取得,,-17311
固定資産の売却,,2218
その他の包括利益（△損失）累計額,,23783
有価証券及びその他の投資有価証券の取得,,-444
有価証券及びその他の投資有価証券の売却及び償還,,302
子会社の取得に伴う現金及び現金同等物の純減,,-198
その他－純額,,1400
投資活動による純キャッシュ増,,9750
財務活動によるキャッシュ・フロー：,,
現金配当,,-3474
短期借入金の減,,-2977
借入債務による調達,,12462
借入債務の返済,,-29753
自己株式の取得,,-4
その他－純額,,1
財務活動による純キャッシュ減,,-23745
為替変動による現金及び現金同等物への影響額,,-195
純キャッシュ増,,12242
期首現金及び現金同等物残高,,51409
期末現金及び現金同等物残高,,63651
