企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結キャッシュ・フロー計算書,,



（百万円）,,,
2015/04/01-2016/03/31,,,
連結キャッシュ・フロー計算書,,,
営業活動によるキャッシュ・フロー：,,,
当期純利益,,18755,
調整項目：,,,
減価償却費,,19926,
減損損失,,11081,
繰延税金,,272,
為替換算差額,,-3193,
受取手形及び売掛金の増,,-113,
棚卸資産の(△増)減,,5894,
その他の流動資産の増,,-34,
支払手形及び買掛金の減,,-304,
未払法人税等の増(△減),,-598,
未払費用及びその他の流動負債の増,,232,
その他－純額,,617,
営業活動による純キャッシュ増,,52535,
投資活動によるキャッシュ・フロー：,,,
固定資産の取得,,-37604,
固定資産の売却,,1839,
定期預金の増,,-202,
有価証券及びその他の投資有価証券の取得,,-2798,
有価証券及びその他の投資有価証券の売却及び償還,,475,
関連会社に対する投資,,-1891,
事業の取得に伴う現金及び現金同等物の純減,,-8563,
事業の売却に伴う現金及び現金同等物の純増,,-,
その他－純額,,-395,
投資活動による純キャッシュ減,,-49139,
財務活動によるキャッシュ・フロー：,,,
現金配当,,-9411,
短期借入金の増(△減),,18506,
借入債務による調達,,30408,
借入債務の返済,,-32614,
非支配持分からの出資,,1502,
自己株式の取得,,-10,
その他－純額,,-199,
財務活動による純キャッシュ増(△減),,8182,
為替変動による現金及び現金同等物への影響額,,-1661,
純キャッシュ増(△減),,9917,
期首現金及び現金同等物残高,,57404,
期末現金及び現金同等物残高,,67321,
