企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結キャッシュ・フロー計算書,,



（百万円）,,,
2017/04/01-2018/03/31,,,
連結キャッシュ・フロー計算書,,,
営業活動によるキャッシュ・フロー：,,,
当期純利益,,37419,
調整項目：,,,
減価償却費,,21719,
減損損失,,1631,
繰延税金,,-2412,
為替換算差額,,-3285,
受取手形及び売掛金の増,,-22168,
棚卸資産の減,,5743,
その他の流動資産の減,,416,
支払手形及び買掛金の増,,9883,
未払法人税等の増(△減),,-203,
未払費用及びその他の流動負債の増(△減),,7396,
その他－純額,,-1513,
営業活動による純キャッシュ増,,54626,
投資活動によるキャッシュ・フロー：,,,
固定資産の取得,,-33220,
固定資産の売却,,3607,
定期預金の(△増)減,,3636,
その他の投資有価証券の取得,,-2482,
その他の投資有価証券の売却及び償還,,1808,
関連会社に対する投資,,-8929,
事業の取得に伴う現金及び現金同等物の純減,,-13404,
事業の売却に伴う現金及び現金同等物の純増,,608,
その他－純額,,-630,
投資活動による純キャッシュ減,,-49006,
財務活動によるキャッシュ・フロー：,,,
現金配当,,-10980,
短期借入金の増(△減),,-4701,
借入債務による調達,,5762,
借入債務の返済,,-18556,
非支配持分からの出資,,1063,
自己株式の取得,,-10,
その他－純額,,-86,
財務活動による純キャッシュ減,,-27508,
為替変動による現金及び現金同等物への影響額,,-416,
純キャッシュ増(△減),,-22304,
期首現金及び現金同等物残高,,82639,
期末現金及び現金同等物残高,,60335,
