企業名,日本ハム,,
証券ｺｰﾄﾞ,2282,,
表名称,連結損益（及び包括利益）計算書,,



（百万円）,,,
2017/04/01-2018/03/31,,,
連結損益（及び包括利益）計算書,,,
売上高,,1269201,
売上原価,,1033355,
販売費及び一般管理費,,186628,
その他の営業費用及び(△収益)－純額,,-66,
プロ野球選手移籍金,,2273,
支払利息,,1172,
その他の収益及び(△費用)－純額,,70,
継続事業からの税金等調整前当期純利益,,50455,
法人税等,,,
当期税金,,16517,
繰延税金,,-2412,
法人税等合計,,14105,
継続事業からの持分法による投資利益前当期純利益,,36350,
持分法による投資利益(法人税等控除後),,1069,
継続事業からの当期純利益,,37419,
非継続事業からの当期純損失(法人税等控除後),,-,
当期純利益,,37419,
非支配持分に帰属する当期純利益,,-272,
当社株主に帰属する当期純利益,,37147,
（円）,,,
１株当たり金額,,,
基本的当社株主に帰属する当期純利益,,,
継続事業からの当期純利益,,348.46,
非継続事業からの当期純損失,,-,
当期純利益,,348.46,
希薄化後当社株主に帰属する当期純利益,,,
継続事業からの当期純利益,,342.07,
非継続事業からの当期純損失,,-,
当期純利益,,342.07,
（百万円）,,,
当期純利益,,37419,
その他の包括利益(法人税等控除後),,,
売却可能有価証券未実現評価益,,1251,
年金債務調整勘定,,875,
外貨換算調整勘定,,-600,
その他の包括利益合計,,1526,
当期包括利益,,38945,
非支配持分に帰属する当期包括(△利益)損失,,-140,
当社株主に帰属する当期包括利益,,38805,
